"year","month","flow","port","region","volumen_10k_m3","volume_MCF","value_US","avgPrice_US_MMBTU"
1991,"January","Exports","Aden","MidWest",30129.2,1063589.74069325,1783184.43,1.69
1991,"January","Exports","Cardston","MidWest",13555.9,478536.309157352,986180.04,1.99
1991,"January","Exports","Cornwall","East",31711.4,1119442.92258075,2821693.19,2.51
1991,"January","Exports","Emerson","MidWest",824601.7,29109233.1783856,64189106.19,2.2
1991,"January","Exports","Fort Frances","East",22833.9,806058.633485645,1909671.52,2.36
1991,"January","Exports","Highwater","East",22550.8,796064.931177245,2611949.52,3.27
1991,"January","Exports","Huntingdon","West",573149.1,20232714.5310055,36571716.77,1.74
1991,"January","Exports","Kingsgate","West",1377373.6,48622612.9489576,102455889.55,2.07
1991,"January","Exports","Monchy","MidWest",940795.6,33210989.613045,58675114.23,1.74
1991,"January","Exports","Niagara Falls","East",361184.6,12750163.7964631,37925682.83,2.97
1991,"January","Exports","Philipsburg","East",26735.9,943802.986743783,2633515.89,2.78
1991,"January","Exports","Reagan Field","MidWest",387.5,13679.1227287361,22772.64,1.34
1991,"January","Exports","Sprague","MidWest",1989.7,70238.3238538484,207765.42,2.95
1991,"January","Imports","Coutts","MidWest",520.7,18381.2108512333,31444.07,1.72
1991,"January","Imports","Emerson","MidWest",31515.1,1112513.34376359,3093592.81,2.77
1991,"January","Imports","Niagara Falls","East",6373.8,225001.270834628,1853078.61,8.21
1991,"January","Imports","St Clair","MidWest",52939.8,1868825.86176708,4789256.17,2.5
1991,"February","Exports","Aden","MidWest",26128.7,922368.242689877,1550606.71,1.69
1991,"February","Exports","Cardston","MidWest",10918.5,385433.552293433,793478.2,1.98
1991,"February","Exports","Cornwall","East",26280.2,927716.338414789,2448173.81,2.63
1991,"February","Exports","Emerson","MidWest",751343,26523130.6022626,50593561.18,1.9
1991,"February","Exports","Fort Frances","East",18577.7,655810.679529396,1555845.8,2.37
1991,"February","Exports","Highwater","East",19833.1,700127.507074313,2094274.65,2.98
1991,"February","Exports","Huntingdon","West",432321.1,15261350.6712831,27876819.23,1.76
1991,"February","Exports","Kingsgate","West",1154061.9,40739495.1397636,87928844.58,2.13
1991,"February","Exports","Monchy","MidWest",773864.1,27318147.094872,39426459.6,1.42
1991,"February","Exports","Niagara Falls","East",335423.8,11840782.7776491,32944850.21,2.77
1991,"February","Exports","Philipsburg","East",21683.6,765451.93703438,2214117.57,2.88
1991,"February","Exports","Reagan Field","MidWest",378,13343.7635908703,22556.06,1.36
1991,"February","Exports","Sprague","MidWest",1453,51292.2976125253,151895.48,2.95
