"Period","Year","Month","Flow","Port","Region","Volume (10^3m3)","Volume (MCF)","Value (CN$)","Value (US$)","Price (CN$/GJ)","Price (US$/MMBTU)"
"01/01/1985","1985","January","Exports","Aden","MidWest","26265.900000","927211.534659896412857","3726834.00","2815167.57","3.89","3.10"
"01/01/1985","1985","January","Exports","Cardston","MidWest","0.400000","14.120384752243728","0.00","0.00","0.00","0.00"
"01/01/1985","1985","January","Exports","Cornwall","East","31849.500000","1124317.985416466627882","5734681.00","4331850.57","4.79","3.82"
"01/01/1985","1985","January","Exports","Emerson","MidWest","415051.000000","14651699.529508780055223","68498640.00","51742350.22","4.39","3.50"
"01/01/1985","1985","January","Exports","Fort Frances","East","11125.900000","392754.971787471265017","1996382.00","1508022.59","4.78","3.81"
"01/01/1985","1985","January","Exports","Huntingdon","West","441202.000000","15574854.983648594456901","Confidential","Confidential","Confidential","Confidential"
"01/01/1985","1985","January","Exports","Kingsgate","West","1203424.500000","42482042.400691334037465","177162973.00","133824972.22","3.88","3.09"
"01/01/1985","1985","January","Exports","Monchy","MidWest","616157.600000","21750955.950047726900460","Confidential","Confidential","Confidential","Confidential"
"01/01/1985","1985","January","Exports","Niagara Falls","East","96414.200000","3403513.998949443374432","Confidential","Confidential","Confidential","Confidential"
"01/01/1985","1985","January","Exports","Ojibway (Windsor)","MidWest","1557.500000","54981.248129049020327","322752.00","243799.69","5.43","4.33"
"01/01/1985","1985","January","Exports","Philipsburg","East","22520.800000","795005.902320826437878","4199295.00","3172054.11","4.96","3.96"
"01/01/1985","1985","January","Exports","Reagan Field","MidWest","244.900000","8645.205564561223164","44094.00","33307.63","3.89","3.10"
"01/01/1985","1985","January","Exports","Sprague","MidWest","1574.300000","55574.304288643256951","321016.00","242488.35","5.43","4.33"
"01/01/1985","1985","January","Exports","Total","Total","2867388.500000","101221572.135397545312285","424366543.00","320557054.70","3.90","3.11"
"01/01/1985","1985","January","Imports","Coutts","MidWest","832.200000","29377.460477043078468","Confidential","Confidential","Confidential","Confidential"
"01/01/1985","1985","January","Imports","Total","Total","832.200000","29377.460477043078468","126335.00","95430.65","4.05","3.23"
"02/01/1985","1985","February","Exports","Aden","MidWest","23179.200000","818248.055623019616038","3354066.00","2478993.64","3.98","3.10"
"02/01/1985","1985","February","Exports","Cardston","MidWest","0.400000","14.120384752243728","0.00","0.00","0.00","0.00"
"02/01/1985","1985","February","Exports","Cornwall","East","25841.000000","912212.155956825511581","4889715.00","3613993.40","5.02","3.91"
"02/01/1985","1985","February","Exports","Emerson","MidWest","517526.400000","18269179.718608972657272","86634857.00","64031912.17","4.44","3.46"
"02/01/1985","1985","February","Exports","Fort Frances","East","9184.000000","324204.033911516020988","1516479.00","1120831.19","4.38","3.42"
"02/01/1985","1985","February","Exports","Huntingdon","West","370502.000000","13079076.978689515331912","Confidential","Confidential","Confidential","Confidential"
"02/01/1985","1985","February","Exports","Kingsgate","West","934797.200000","32999240.323300329287370","144308796.00","106658779.97","4.06","3.16"
"02/01/1985","1985","February","Exports","Monchy","MidWest","683010.600000","24110931.154652101960472","Confidential","Confidential","Confidential","Confidential"
"02/01/1985","1985","February","Exports","Niagara Falls","East","83956.800000","2963755.796417940796050","Confidential","Confidential","Confidential","Confidential"
"02/01/1985","1985","February","Exports","Ojibway (Windsor)","MidWest","1537.800000","54285.819180001016667","326054.00","240986.85","5.55","4.33"
"02/01/1985","1985","February","Exports","Philipsburg","East","17900.500000","631904.868143847183548","3423460.00","2530282.82","5.07","3.96"
"02/01/1985","1985","February","Exports","Reagan Field","MidWest","114.000000","4024.309654389462804","20979.00","15505.60","3.98","3.10"
"02/01/1985","1985","February","Exports","Sprague","MidWest","1382.900000","48817.700184694632559","255794.00","189057.61","4.91","3.83"
"02/01/1985","1985","February","Exports","Total","Total","2668932.800000","94215895.034707905720989","410022250.00","303047867.88","4.04","3.15"
"02/01/1985","1985","February","Imports","Coutts","MidWest","796.300000","28110.155945529203779","Confidential","Confidential","Confidential","Confidential"
"02/01/1985","1985","February","Imports","Total","Total","796.300000","28110.155945529203779","118877.00","87862.11","3.98","3.10"
"03/01/1985","1985","March","Exports","Aden","MidWest","16750.700000","591315.822173522584143","2479377.00","1792203.50","4.07","3.10"
"03/01/1985","1985","March","Exports","Cardston","MidWest","0.400000","14.120384752243728","0.00","0.00","0.00","0.00"
"03/01/1985","1985","March","Exports","Cornwall","East","25489.500000","899803.867855791334602","4860261.00","3513211.91","5.07","3.87"
"03/01/1985","1985","March","Exports","Emerson","MidWest","603414.400000","21301108.732610746177600","102170630.00","73853456.38","4.51","3.44"
"03/01/1985","1985","March","Exports","Fort Frances","East","8413.300000","296997.582590130415873","1167274.00","843757.34","3.69","2.82"
